"","Admission","LSAT","Essay","GPA"
"334",0,163,28,2.22
"335",0,145,43,1.57
"336",1,152,68,2.4
"337",0,163,11,2.31
"338",0,127,44,3.25
"339",1,163,37,1.6
"340",0,150,34,1.57
"341",0,145,54,1.96
"342",1,143,74,2.39
"343",1,166,52,2.75
"344",1,158,49,3.2
"345",1,159,60,2.41
"346",1,158,65,4.11
"347",1,158,39,2.77
"348",1,163,42,1.68
"349",0,147,62,1.29
"350",1,153,55,3.74
"351",1,155,65,2.24
"352",0,151,30,1.51
"353",1,151,46,2.4
"354",0,139,21,2.47
"355",0,154,36,1.98
"356",1,143,16,2.21
"357",0,151,35,2.99
"358",1,177,73,2.62
"359",0,149,50,3.11
"360",0,143,57,2.16
"361",0,145,76,1.77
"362",1,160,65,2.15
"363",1,162,84,1.41
"364",0,150,63,1.65
"365",1,149,82,3.78
"366",0,150,51,2.71
"367",0,136,74,1.84
"368",1,174,50,2.42
"369",0,139,22,3.06
"370",0,158,37,0.28
"371",1,154,60,2.75
"372",1,160,38,4.46
"373",1,157,74,3.32
"374",1,157,54,2.4
"375",1,156,47,2.8
"376",0,148,61,1.2
"377",1,146,63,1.03
"378",0,136,46,3.75
"379",0,158,26,3.5
"380",0,135,56,1.61
"381",0,149,53,2.28
"382",0,143,31,1.81
"383",1,153,50,1.49
"384",0,140,35,2.24
"385",1,131,77,3.2
"386",1,148,58,3.45
"387",0,156,56,1.41
"388",1,146,52,1.44
"389",1,149,29,3.92
"390",1,172,62,2.54
"391",0,152,13,3.46
"392",1,153,70,3.42
"393",0,132,52,2.51
"394",1,159,42,2.07
"395",1,163,54,1.46
"396",1,161,50,2.47
"397",1,165,64,2.28
"398",0,138,20,1.41
"399",0,149,33,3.47
"400",1,169,60,2.53
"401",0,146,45,2.3
"402",0,162,61,2.45
"403",1,159,50,0.76
"404",0,138,64,2.37
"405",1,149,59,2.05
"406",1,161,56,1.92
"407",1,160,54,3
"408",1,144,63,1.94
"409",0,162,40,1.86
"410",0,151,68,2.72
"411",0,148,51,1.87
"412",1,156,63,2.97
"413",0,149,47,2.73
"414",1,163,65,2.78
"415",1,155,56,2.62
"416",1,161,81,2.89
"417",0,162,60,0.75
"418",1,172,17,3.9
"419",0,137,31,1.61
"420",1,155,22,3.62
"421",0,154,43,0.44
"422",1,147,46,2.35
"423",1,157,71,2.16
"424",0,144,33,2.86
"425",1,161,42,2.28
"426",0,160,41,3.22
"427",1,146,48,2.94
"428",1,150,58,3.49
"429",1,151,74,3.54
"430",1,166,81,2.32
"431",0,158,41,0.61
"432",0,150,35,3.03
"433",1,150,39,3.2
"434",1,153,61,3.28
"435",0,145,33,2.65
"436",1,145,62,1.81
"437",1,156,58,0.17
"438",0,135,38,2.46
"439",1,160,14,1.86
"440",1,152,78,1.42
"441",1,157,65,3.29
"442",1,157,55,2.96
"443",0,142,44,1.42
"444",0,147,60,1.83
"445",0,153,44,2.37
"446",0,154,35,0.79
"447",1,151,51,2.5
"448",1,164,64,2.41
"449",0,166,29,1.51
"450",1,144,67,2.17
"451",1,139,70,3.72
"452",0,143,1,1.49
"453",1,161,83,2.86
"454",0,153,61,1.76
"455",1,149,54,1.69
"456",1,147,40,2.86
"457",1,169,28,2.13
"458",1,172,30,2.71
"459",1,149,49,2.1
"460",0,145,37,0.69
"461",0,150,38,1.98
"462",1,169,48,4.76
"463",1,158,33,2.66
"464",1,156,62,2.5
"465",1,150,77,0.62
"466",1,143,81,2.24
"467",1,164,53,2.83
"468",0,142,50,2.75
"469",0,143,64,1.5
"470",0,147,66,0.49
"471",1,168,82,2.97
"472",1,141,49,2.73
"473",0,153,35,2.28
"474",0,135,48,2.5
"475",1,149,67,1.81
"476",1,140,73,2.72
"477",1,143,50,0.25
"478",1,155,69,4.1
"479",0,152,40,1.46
"480",0,148,59,2.74
"481",1,156,57,1.6
"482",0,157,43,2.4
"483",0,156,43,2.92
"484",1,159,28,2.77
"485",1,136,84,2.71
"486",1,163,55,3.71
"487",0,146,44,2.55
"488",0,143,21,0.49
"489",0,151,23,3.4
"490",1,165,76,3.36
"491",1,166,34,2.8
"492",1,160,53,2.91
"493",1,154,41,2.17
"494",1,153,48,2.71
"495",0,151,56,0.53
"496",0,142,59,1.59
"497",1,163,51,4.05
"498",1,154,56,2.54
"499",1,175,60,2.86
"500",1,171,74,2.51
"501",1,162,80,3.23
"502",1,154,37,3.17
"503",1,158,72,2.9
"504",1,135,44,3.44
"505",1,153,51,2.53
"506",1,172,47,2.39
"507",1,153,75,1.75
"508",0,142,69,1.98
"509",1,159,71,2.36
"510",1,145,72,2.07
"511",1,144,72,2.43
"512",1,148,58,2.49
"513",0,157,60,2.4
"514",0,150,42,2.86
"515",0,152,46,2.35
"516",0,145,56,1.43
"517",0,151,59,2.46
"518",0,154,37,2.78
"519",0,143,48,2.85
"520",0,138,73,2.44
"521",0,145,56,2.7
"522",1,173,75,2.54
"523",1,152,62,1.79
"524",1,153,30,1.38
"525",1,156,37,3.5
"526",0,160,57,1.67
"527",0,146,44,2.9
"528",1,140,65,1.73
"529",1,159,66,2.14
"530",0,155,27,2.89
"531",1,157,74,2.45
"532",1,167,64,2.2
"533",0,143,36,3.27
"534",1,163,54,2.41
"535",0,155,13,1.88
"536",0,153,18,2.15
"537",0,150,36,0.68
"538",1,133,88,2.2
"539",1,152,70,0.57
"540",0,163,31,1.76
"541",1,147,53,2.92
"542",0,137,50,2.32
"543",1,147,53,1.76
"544",1,145,80,2.59
"545",1,166,45,0.6
"546",0,137,69,3.51
"547",0,153,36,3.17
"548",1,178,56,0.9
"549",1,159,50,1.82
"550",1,158,66,2.49
"551",0,141,64,2.56
"552",1,164,20,3.17
"553",1,133,38,2.99
"554",1,141,79,2.5
"555",1,157,53,2.04
"556",1,152,60,3.21
"557",1,155,75,1.98
"558",1,145,32,3.12
"559",0,149,69,2.09
"560",1,164,70,2.46
"561",1,163,70,2.6
"562",1,154,26,1.02
"563",1,132,71,2.44
"564",0,160,32,1.95
"565",1,156,58,2.12
"566",1,159,72,3.44
"567",0,142,53,0.18
"568",1,169,80,2.65
"569",0,157,29,2.41
"570",0,142,48,1.81
"571",1,163,68,2.02
"572",1,165,55,1.44
"573",1,161,40,2.22
"574",1,136,55,3
"575",0,142,51,2.18
"576",1,154,57,1.74
"577",1,156,81,3.23
"578",0,130,52,1.82
"579",1,165,81,1.87
"580",1,140,45,3.68
"581",1,166,56,2.34
"582",1,158,51,2.4
"583",1,154,49,1.85
"584",1,161,66,0
"585",0,154,62,2.8
"586",1,160,48,1.86
"587",1,174,41,1.98
"588",1,159,47,2.57
"589",1,153,37,2.16
"590",0,144,30,1.13
"591",1,154,88,2.14
"592",0,145,40,2.52
"593",1,150,37,3.13
"594",0,146,42,1.19
"595",0,160,29,3.5
"596",1,156,63,2.15
"597",1,152,36,2.06
"598",0,144,46,3.43
"599",0,145,31,2.13
"600",0,148,52,2.27
"601",0,155,33,1.71
"602",0,162,54,1.55
"603",1,145,50,3.8
"604",1,155,49,2.69
"605",1,153,46,3.42
"606",0,153,58,2.09
"607",1,159,56,2.01
"608",1,172,78,1.84
"609",1,142,78,3.48
"610",1,170,51,2.38
"611",1,155,81,2.16
"612",1,153,81,4.18
"613",1,159,44,2.85
"614",1,151,35,2.9
"615",1,146,69,2.77
"616",1,147,89,2.15
"617",0,143,35,2.69
"618",1,147,42,3.9
"619",1,158,57,0.84
"620",1,143,75,3.29
"621",1,145,58,3.28
"622",1,164,41,1.03
"623",1,149,80,3.18
"624",1,163,81,2.34
"625",1,151,61,1.4
"626",1,153,49,4.38
"627",1,163,56,2.86
"628",1,141,69,2.49
"629",0,141,49,3.2
"630",1,167,69,0.88
"631",1,159,36,2.88
"632",1,162,35,3.19
"633",1,148,60,2.35
"634",0,149,63,2.23
"635",1,169,67,3.45
"636",1,139,33,2.5
"637",1,155,52,2.36
"638",1,143,75,1.56
"639",1,135,45,3.77
"640",0,138,44,2.01
"641",0,162,43,1.4
"642",1,160,78,1.55
"643",0,146,40,3.76
"644",0,145,69,3.17
"645",0,135,63,0.98
"646",1,142,53,1.26
"647",0,144,53,2.72
"648",1,145,59,2.72
"649",1,152,57,1.21
"650",1,156,66,2.46
"651",0,121,68,1.95
"652",1,167,53,3.32
"653",1,135,78,1.87
"654",1,149,46,1.7
"655",1,154,88,1.43
"656",0,148,36,1.36
"657",0,156,55,2.46
"658",0,146,48,2.75
"659",0,145,53,1.32
"660",0,164,16,0.16
"661",0,154,43,2
"662",0,141,44,1.47
"663",0,161,48,2.32
"664",0,156,41,0.58
"665",0,147,50,1.83
"666",1,160,61,2.29
"667",1,180,80,1.72
"668",1,162,47,2.23
"669",0,148,48,2.1
"670",0,136,31,2.57
"671",0,145,67,2.84
"672",0,145,40,1.72
"673",1,139,59,4.25
"674",1,161,75,2.29
"675",1,144,98,1.32
"676",0,153,27,3.15
"677",1,157,68,2.53
"678",1,168,62,1.75
"679",0,148,62,1.81
"680",1,146,72,2.54
"681",1,159,62,2.32
"682",1,152,64,1.54
"683",0,151,50,2.21
"684",0,152,43,0.62
"685",0,151,51,1.9
"686",1,154,41,3.04
"687",1,151,51,2.85
"688",1,161,53,2.23
"689",1,151,41,2.27
"690",1,164,43,3.13
"691",1,158,39,2.22
"692",0,133,46,2.46
"693",1,155,53,2.07
"694",0,146,59,1.79
"695",1,153,89,2.93
"696",1,169,77,2.11
"697",0,130,51,2.59
"698",0,148,26,2.77
"699",1,156,83,2.8
"700",0,159,45,1.75
"701",0,146,55,1.6
"702",1,152,76,3.26
"703",0,148,26,2.32
"704",0,154,37,2.47
"705",1,164,63,2.91
"706",1,153,38,2.19
"707",1,148,41,3.5
"708",1,161,62,1.18
"709",1,153,64,2.16
"710",1,154,43,1.31
"711",1,156,55,1.83
"712",1,147,57,2.6
"713",0,148,20,2.35
"714",1,161,32,1.31
"715",1,157,33,2.98
"716",0,151,55,2.98
"717",0,147,39,1.34
"718",0,155,28,2.13
"719",0,161,60,1.21
"720",1,158,39,2.79
"721",0,127,37,1.82
"722",1,153,89,2.91
"723",1,152,39,2.47
"724",0,155,22,1.83
"725",1,151,57,2.12
"726",1,146,39,2.64
"727",0,159,65,1.97
"728",0,163,38,0.34
"729",1,141,46,3.46
"730",0,137,70,2.79
"731",0,141,32,3.49
"732",0,154,43,1.12
"733",1,152,29,2.53
"734",1,157,82,1.43
"735",1,158,82,1.38
"736",0,158,43,1.08
"737",1,152,69,3.12
"738",0,145,32,2.71
"739",0,147,33,2.3
"740",0,155,39,3
"741",0,161,23,1.86
"742",1,147,61,2.37
"743",1,155,76,2.31
"744",1,148,41,3.1
"745",0,157,25,1.83
"746",0,155,21,1.69
"747",0,152,23,1.34
"748",1,149,91,2.55
"749",1,154,20,3.15
"750",1,147,30,1.39
"751",1,158,30,2.15
"752",1,159,29,2.08
"753",1,161,71,3.31
"754",0,133,61,1.27
"755",1,150,34,2.71
"756",1,158,28,3.28
"757",1,149,51,2.05
"758",0,152,48,2.56
"759",0,137,53,2.14
"760",0,152,41,2.5
"761",1,159,55,1.62
"762",1,156,33,1.76
"763",1,148,89,1.06
"764",0,147,39,3.18
"765",0,144,25,2.23
"766",0,154,49,2.32
"767",1,157,52,2.17
"768",0,151,52,2.66
"769",0,154,33,4.01
"770",1,158,80,1.58
"771",1,147,52,1.87
"772",1,157,44,3.24
"773",1,160,67,0.71
"774",0,139,68,2.19
"775",1,158,51,3.32
"776",0,157,52,1.52
"777",1,172,57,2.51
"778",0,156,43,2.36
"779",1,160,62,2.77
"780",1,152,65,2.48
"781",0,164,34,0.9
"782",1,148,51,1.8
"783",1,164,58,2.43
"784",0,164,66,2.66
"785",1,167,89,1.79
"786",0,162,45,1.63
"787",1,154,85,2.71
"788",1,153,67,1.68
"789",1,150,34,2.28
"790",1,148,65,3.58
"791",0,151,31,2.11
"792",1,153,54,2.44
"793",0,158,58,1.8
"794",1,165,47,2.6
"795",0,145,39,2.73
"796",1,159,67,1.34
"797",1,146,70,1.67
"798",0,153,55,2.67
"799",1,159,53,2.2
"800",1,140,86,2.1
"801",1,148,63,2.26
"802",1,147,66,2.64
"803",0,173,45,1.44
"804",1,154,53,3.24
"805",0,148,8,3.9
"806",1,158,71,2.56
"807",1,159,72,1.93
"808",1,149,71,3.02
"809",1,160,40,1.31
"810",0,145,27,2.62
"811",1,161,51,0.57
"812",0,158,36,1.79
"813",0,163,48,1.23
"814",0,146,66,3.6
"815",0,138,55,1.36
"816",1,153,43,1.24
"817",1,145,76,1.8
"818",1,174,54,2.58
"819",0,164,52,1.22
"820",0,162,49,1.89
"821",0,144,66,2.42
"822",0,146,21,3.83
"823",1,160,57,0.64
"824",0,151,24,3.23
"825",1,155,62,1.98
"826",1,147,49,3.47
"827",1,157,50,3.57
"828",0,131,68,1.45
"829",1,147,42,2.26
"830",1,154,57,2.31
"831",1,151,70,2.89
"832",0,132,37,3.52
"833",0,152,76,1.37
"834",0,153,53,1.34
"835",1,143,68,1.97
"836",0,133,58,2.04
"837",0,149,52,1.55
"838",1,154,61,3.01
"839",1,158,72,1.32
"840",1,158,57,2.96
"841",0,142,72,2.19
"842",0,145,44,2.85
"843",1,176,43,1.69
"844",1,141,90,3.67
"845",0,154,35,3.2
"846",1,157,60,2.95
"847",0,143,61,1.92
"848",1,152,56,1.99
"849",0,156,23,1.85
"850",1,148,53,2.81
"851",0,157,45,1.99
"852",1,133,58,2.61
"853",1,150,79,2.17
"854",1,160,23,4.67
"855",0,172,56,2.09
"856",0,139,77,1.83
"857",1,142,46,2.57
"858",1,150,43,3.76
"859",0,146,28,3.27
"860",1,170,34,2.87
"861",0,151,27,1.17
"862",0,144,65,0.59
"863",0,162,41,2.83
"864",1,144,69,2.1
"865",1,136,60,2.7
"866",1,165,61,1.05
"867",0,145,19,2.01
"868",0,158,30,1.39
"869",0,149,70,2.26
"870",1,155,44,2.99
"871",1,148,91,1.11
"872",1,165,47,2.58
"873",0,134,32,3.36
"874",1,174,68,2.83
"875",1,164,40,3.83
"876",1,157,57,1.72
"877",1,157,75,3.76
"878",1,166,75,3.48
"879",1,164,51,3.03
"880",0,138,63,2.52
"881",0,151,46,0.82
"882",0,138,40,1.5
"883",1,160,78,1.27
"884",1,153,36,2.71
"885",1,143,65,1.5
"886",0,161,49,0.59
"887",0,148,47,1.97
"888",0,140,37,3.42
"889",0,154,43,2.12
"890",0,130,56,3.32
"891",0,150,30,2.47
"892",1,148,61,2.6
"893",1,158,58,4.33
"894",1,144,17,5
"895",1,166,77,2.09
"896",0,143,44,2.34
"897",0,144,77,2.54
"898",1,162,40,2.37
"899",1,159,55,1.14
"900",1,160,49,1.44
"901",1,167,39,2.8
"902",0,148,29,2.82
"903",1,162,63,3.1
"904",0,142,32,1.62
"905",0,144,81,2.67
"906",1,173,58,1.59
"907",0,166,10,2.85
"908",0,140,43,0.95
"909",1,177,67,0.95
"910",0,151,53,2.1
"911",1,167,74,3.95
"912",0,147,57,3.03
"913",0,152,67,2.24
"914",1,159,57,3.13
"915",1,151,57,3.07
"916",1,153,46,1.28
"917",1,162,61,3.36
"918",0,140,45,2.01
"919",0,141,28,1.98
"920",0,156,64,1.07
"921",1,130,67,2.6
"922",1,161,59,1.71
"923",0,145,62,2.34
"924",1,146,37,2.68
"925",1,159,81,2.22
"926",0,159,38,1.16
"927",1,153,62,2.14
"928",1,153,42,2.87
"929",1,160,67,3.27
"930",1,160,48,2.39
"931",0,148,52,3.02
"932",1,169,57,2.46
"933",1,160,75,2.84
"934",0,145,46,3.14
"935",1,160,30,3.54
"936",0,141,53,1.72
"937",0,138,67,2.29
"938",1,152,82,4.37
"939",1,164,59,2.31
"940",1,157,55,2.59
"941",1,165,31,3.15
"942",1,151,65,1.45
"943",0,136,66,1.93
"944",1,151,55,1.6
"945",1,169,59,3.29
"946",1,163,78,1.75
"947",1,171,67,1.36
"948",1,153,70,2.45
"949",0,156,58,2.23
"950",1,146,45,2.72
"951",1,155,69,3.49
"952",1,150,49,2.19
"953",1,144,87,1.96
"954",0,153,26,2.62
"955",1,148,48,2.22
"956",1,149,61,2.64
"957",1,152,53,2.44
"958",0,135,49,0.96
"959",0,146,64,1.95
"960",0,156,56,1.28
"961",1,164,45,4.79
"962",0,137,41,2.64
"963",1,161,35,2.66
"964",1,157,73,3.45
"965",1,153,90,2.03
"966",1,141,42,2.06
"967",1,159,76,2.61
"968",0,136,46,2.16
"969",1,136,68,4.06
"970",1,167,50,2.01
"971",1,153,64,2.65
"972",1,160,54,2.29
"973",0,143,47,3.01
"974",1,163,50,1.97
"975",1,144,88,2.9
"976",1,151,26,4.83
"977",0,153,36,2.3
"978",1,161,50,1.23
"979",1,151,50,1.35
"980",0,144,35,3.53
"981",1,147,50,1.67
"982",0,120,51,2.11
"983",1,162,22,1.7
"984",1,147,65,2.16
"985",0,158,25,3.01
"986",1,170,46,1.62
"987",1,152,55,3.54
"988",1,173,99,1.52
"989",0,143,68,2.48
"990",1,143,45,3.22
"991",0,143,72,3.4
"992",1,153,64,2.66
"993",1,157,35,2.19
"994",1,160,56,2.17
"995",1,157,63,2.83
"996",1,162,53,1.64
"997",0,142,31,2.04
"998",1,152,75,3.68
"999",1,147,54,3.33
"1000",1,149,73,2.68
