ID,Chain,SouthJ,CentralJ,NorthJ,PA1,PA2,Shore,Group,Empl,C.Owned,Hours.Opening,Soda,Fries,Treatment
23,1,0,0,1,0,0,0,1,0,0,16,1.06,0.95,0
24,1,0,1,0,0,0,0,1,15,0,16,1.06,0.95,0
28,2,0,0,1,0,0,0,1,0,0,10,1.06,1.17,0
29,2,0,0,1,0,0,0,1,0,0,11,1.06,1.01,0
32,3,0,0,1,0,0,0,1,10,0,11.5,1.12,1.02,0
34,3,0,0,1,0,0,0,1,5,1,11.5,1.12,1.02,0
35,4,0,0,1,0,0,0,1,25,0,11.5,0.96,0.95,0
38,1,0,1,0,0,0,0,1,15,0,17,1.05,0.95,0
63,1,0,0,1,0,0,0,1,26,1,18,1.1,0.97,0
64,1,0,0,1,0,0,0,1,20,0,16,1.06,0.95,0
65,1,0,0,1,0,0,0,1,0,0,15.5,1.06,0.85,0
66,1,0,0,1,0,0,0,1,15,0,17,1.06,0.95,0
67,1,0,0,1,0,0,0,1,5,0,13.5,1.17,1.06,0
68,1,0,0,1,0,0,0,1,30,0,17,1.07,1.02,0
69,1,0,0,1,0,0,0,1,0,0,18,1.17,0.95,0
70,1,0,0,1,0,0,0,1,35,0,16,1.06,0.95,0
71,1,0,0,1,0,0,0,1,0,0,17,1.06,0.95,0
73,2,0,0,1,0,0,0,1,0,0,12,1.06,1.06,0
75,2,0,0,1,0,0,0,1,3,0,11,1.17,1.27,0
76,3,0,0,1,0,0,0,1,8,1,17,1.12,1.02,0
79,3,0,0,1,0,0,0,1,6,1,17,1.17,1.02,0
80,4,0,0,1,0,0,0,1,4.5,0,11.5,1.06,0.98,0
84,1,0,1,0,0,0,0,1,4,0,16,1.04,0.85,0
86,1,0,1,0,0,0,0,1,11,0,15,1.06,0.94,0
87,1,0,1,0,0,0,1,1,0,0,15,1.06,0.86,0
88,1,1,0,0,0,0,0,1,3,0,15,1.06,0.87,0
91,1,0,1,0,0,0,1,1,8,1,17,1.09,0.93,0
92,1,0,1,0,0,0,1,1,4,1,15,1.09,0.95,0
93,1,0,0,1,0,0,0,1,2.5,1,16,NA,NA,0
95,2,0,1,0,0,0,0,1,18,0,10,1.06,0.8,0
96,2,0,0,1,0,0,0,1,0,0,10,1.06,1.01,0
97,2,0,1,0,0,0,0,1,0,0,10,1.02,0.75,0
98,2,0,1,0,0,0,1,1,0,0,10,1.06,0.8,0
99,3,0,1,0,0,0,1,1,60,1,24,1.23,NA,0
101,3,0,1,0,0,0,1,1,4.5,0,15,1.2,1.18,0
102,3,1,0,0,0,0,0,1,12,0,16,1.06,0.91,0
104,4,0,1,0,0,0,1,1,40,0,11.5,0.95,0.84,0
105,1,0,0,1,0,0,0,1,0,0,16.5,0.96,1,0
106,1,0,0,1,0,0,0,1,0,0,16,1.06,0.95,0
107,1,0,0,1,0,0,0,1,6,1,14.5,1.17,0.95,0
108,1,0,0,1,0,0,0,1,13.5,0,17,1.27,1.01,0
111,3,0,0,1,0,0,0,1,17,0,16,1.17,1.06,0
114,1,0,1,0,0,0,0,1,0,0,16,1.07,0.95,0
115,1,0,1,0,0,0,0,1,20,0,17,1.06,0.95,0
116,1,0,1,0,0,0,0,1,4,0,13,1.49,1.02,0
118,1,0,0,1,0,0,0,1,10,0,15,1.06,0.95,0
119,1,0,0,1,0,0,0,1,12,0,16.5,1.06,0.91,0
120,1,0,1,0,0,0,0,1,0,1,16,1.13,0.98,0
122,1,0,0,1,0,0,0,1,1,0,12.5,NA,1.12,0
124,1,0,1,0,0,0,0,1,8,0,15,1.06,0.91,0
125,2,0,1,0,0,0,0,1,15,0,12.5,0.91,0.85,0
130,3,0,1,0,0,0,0,1,7,1,18,1.12,1.07,0
132,3,0,1,0,0,0,0,1,20,1,24,1.28,1.06,0
133,3,0,1,0,0,0,0,1,6,1,17,1.12,1.07,0
134,3,0,1,0,0,0,0,1,5.5,0,16,1.09,NA,0
136,3,0,1,0,0,0,0,1,14.5,1,17,1.12,1.07,0
137,3,0,0,1,0,0,0,1,15,1,16,1.12,1.06,0
140,4,0,1,0,0,0,0,1,0,0,11.5,0.91,0.86,0
141,4,0,1,0,0,0,0,1,10,0,12.5,1.02,0.91,0
142,4,0,0,1,0,0,0,1,15,0,11.5,1.06,0.95,0
146,1,0,0,1,0,0,0,1,8,0,16,1.06,1,0
149,1,0,0,1,0,0,0,1,0,0,16,1.06,0.95,0
150,1,0,0,1,0,0,0,1,0,0,16,1.23,0.89,0
156,1,0,0,1,0,0,0,1,8,0,15,1.06,0.95,0
158,2,0,0,1,0,0,0,1,2,0,10,0.92,0.7,0
159,2,0,0,1,0,0,0,1,6,0,10.5,0.98,0.85,0
162,3,0,0,1,0,0,0,1,0,1,16.5,1.12,1.02,0
166,4,0,0,1,0,0,0,1,8,0,11.5,0.95,0.85,0
168,1,0,0,1,0,0,0,1,5,0,15,1.06,0.95,0
171,1,0,0,1,0,0,1,1,2,1,16,1.09,0.95,0
172,1,0,0,1,0,0,0,1,0,0,12.5,1.12,1.02,0
173,1,0,0,1,0,0,0,1,6,0,17.5,1.06,0.95,0
174,1,0,0,1,0,0,1,1,11,0,16,1.18,0.88,0
176,1,0,0,1,0,0,0,1,15,0,16,1.06,NA,0
178,2,0,0,1,0,0,1,1,13,1,10,0.91,0.85,0
179,2,0,0,1,0,0,0,1,2,0,10.5,0.91,0.91,0
180,2,0,0,1,0,0,1,1,8,0,11,1.06,1.01,0
182,2,1,0,0,0,0,1,1,3,0,11,1.06,1.01,0
183,2,0,0,1,0,0,0,1,12,0,11,1.06,1.01,0
185,2,0,1,0,0,0,1,1,2,0,10.5,1.06,1.01,0
186,3,0,0,1,0,0,0,1,10,0,16,1.12,1.02,0
189,3,0,0,1,0,0,0,1,4,0,15,1.12,1.07,0
192,4,0,0,1,0,0,0,1,20,0,12,0.91,0.85,0
193,4,0,0,1,0,0,1,1,1,0,11,0.95,0.85,0
195,4,0,0,1,0,0,1,1,0,0,11.5,1.06,0.85,0
198,1,0,0,1,0,0,0,1,NA,0,16,1.06,0.95,0
199,2,0,0,1,0,0,0,1,0,0,10,0.85,0.8,0
200,1,0,0,1,0,0,0,1,0,0,18,1.06,0.91,0
201,1,0,0,1,0,0,0,1,0,0,17,1.06,1.02,0
202,1,0,0,1,0,0,0,1,30,0,19,1.17,0.95,0
203,1,0,0,1,0,0,0,1,9,0,17,1.06,0.95,0
204,1,0,0,1,0,0,0,1,10,0,17.5,1.06,1,0
207,2,0,0,1,0,0,0,1,8,1,12,1.06,0.85,0
208,3,0,0,1,0,0,0,1,12,1,17,1.19,0.94,0
209,3,0,0,1,0,0,0,1,4,1,18,1.17,0.95,0
210,4,0,0,1,0,0,0,1,0,1,11.5,1.06,0.95,0
211,1,1,0,0,0,0,0,1,3,0,15,1.02,0.95,0
212,1,1,0,0,0,0,0,1,11,0,16,1.06,0.88,0
213,1,1,0,0,0,0,0,1,4.5,1,17.5,0.96,0.93,0
214,1,1,0,0,0,0,0,1,2,0,16,1.02,0.89,0
215,1,1,0,0,0,0,0,1,10,0,16,1.06,0.89,0
216,2,1,0,0,0,0,0,1,2,0,10.5,1.06,0.95,0
217,2,1,0,0,0,0,0,1,2,1,10,0.95,0.74,0
218,2,1,0,0,0,0,0,1,7,1,10,0.85,0.74,0
219,2,1,0,0,0,0,0,1,3,1,10,0.91,0.74,0
220,2,1,0,0,0,0,0,1,3,0,10,1.06,0.95,0
221,2,1,0,0,0,0,0,1,1,0,11,1.02,0.95,0
222,3,1,0,0,0,0,0,1,2,1,12.5,1.12,0.85,0
223,3,1,0,0,0,0,0,1,3,1,16,NA,NA,0
225,3,1,0,0,0,0,0,1,3,1,17,1.06,0.91,0
226,4,1,0,0,0,0,0,1,0,0,11.5,0.95,0.71,0
228,4,1,0,0,0,0,0,1,3,0,12.5,0.95,0.86,0
229,1,0,0,1,0,0,0,1,3,0,13.5,0.95,0.95,0
230,1,0,0,1,0,0,0,1,0,0,17,1.02,0.95,0
232,1,0,0,1,0,0,0,1,18,0,16,1.06,0.95,0
233,1,0,0,1,0,0,0,1,19,0,16,1.17,0.95,0
235,1,0,0,1,0,0,0,1,5,0,16,1.02,0.95,0
237,1,0,0,1,0,0,0,1,12,0,16,1.11,0.95,0
238,2,0,0,1,0,0,0,1,0,1,12,1.06,1.02,0
239,2,0,0,1,0,0,0,1,15,0,13.5,1.05,0.95,0
243,3,0,0,1,0,0,0,1,7,1,16.5,1.07,1.02,0
244,3,0,0,1,0,0,0,1,12,1,18,1.17,1.12,0
247,4,0,0,1,0,0,0,1,0,0,15.5,1.06,1.05,0
248,4,0,0,1,0,0,0,1,8,0,16,1.17,0.95,0
249,1,1,0,0,0,0,1,1,6,0,15,1.13,1.06,0
250,2,1,0,0,0,0,1,1,1,1,10,0.85,NA,0
253,3,1,0,0,0,0,0,1,7,1,13,1.23,1.06,0
257,1,1,0,0,0,0,1,1,20,0,16,1.02,0.88,0
258,1,1,0,0,0,0,0,1,4,0,16,1.06,0.92,0
260,1,1,0,0,0,0,0,1,10,1,16,1.06,0.93,0
262,1,1,0,0,0,0,0,1,7,0,16.5,1.06,0.95,0
264,1,1,0,0,0,0,0,1,0,0,15,1.02,0.88,0
265,1,1,0,0,0,0,0,1,0,0,16,1.02,0.88,0
267,1,1,0,0,0,0,0,1,6.5,0,16,0.9,0.8,0
269,2,1,0,0,0,0,0,1,2,1,10,0.95,0.69,0
273,2,1,0,0,0,0,0,1,2,1,10,0.95,0.74,0
275,2,1,0,0,0,0,0,1,4,1,11,0.95,0.79,0
277,2,1,0,0,0,0,0,1,2,1,10,0.95,0.85,0
278,2,1,0,0,0,0,0,1,3,1,10,0.95,0.74,0
282,3,1,0,0,0,0,0,1,2,1,16,1.06,0.91,0
284,3,1,0,0,0,0,0,1,5,1,16,1.02,0.91,0
285,3,1,0,0,0,0,0,1,3,1,16,1.02,0.91,0
286,3,1,0,0,0,0,0,1,1,1,11.5,1.12,NA,0
287,3,1,0,0,0,0,0,1,3,1,16,1.06,0.91,0
288,3,1,0,0,0,0,0,1,0,1,16,1.02,0.95,0
289,3,1,0,0,0,0,0,1,2,1,16,1.02,0.95,0
290,4,1,0,0,0,0,0,1,8,0,12.5,0.95,0.89,0
291,4,1,0,0,0,0,0,1,4,0,11.5,0.95,0.86,0
292,4,1,0,0,0,0,1,1,10,0,16,0.95,0.92,0
295,1,0,0,1,0,0,0,1,8,0,16.5,1.06,0.95,0
297,1,0,0,1,0,0,0,1,9,1,16,1.06,0.91,0
303,3,0,0,1,0,0,0,1,10,1,17,1.12,1,0
304,3,0,0,1,0,0,0,1,10,0,17,1.27,1.27,0
305,3,0,0,1,0,0,0,1,0,1,17,1.27,1.27,0
307,3,0,0,1,0,0,0,1,17.5,1,18,1.19,1.19,0
310,4,0,0,1,0,0,0,1,0,0,11.5,0.91,0.91,0
312,1,1,0,0,0,0,1,1,4,0,11,1.22,1.06,0
313,1,1,0,0,0,0,1,1,11,0,15,1.06,0.93,0
314,1,1,0,0,0,0,1,1,8,0,15,1.06,0.95,0
316,1,1,0,0,0,0,1,1,15,1,16,1.06,0.92,0
317,1,1,0,0,0,0,1,1,0,0,12,1.22,0.93,0
318,2,1,0,0,0,0,1,1,5,0,12,1.23,0.98,0
319,2,1,0,0,0,0,1,1,0,0,12.5,1.06,0.85,0
322,3,1,0,0,0,0,1,1,8,1,16,1.06,1.06,0
325,3,1,0,0,0,0,1,1,4,1,15,1.09,1.06,0
333,1,0,1,0,0,0,0,1,2,0,15,1.02,0.88,0
336,1,1,0,0,0,0,0,1,28,0,15,1.02,0.91,0
337,1,1,0,0,0,0,0,1,5,1,17,1.06,0.93,0
339,1,1,0,0,0,0,0,1,18,1,16,1.06,0.85,0
340,1,1,0,0,0,0,0,1,6,0,14.5,0.96,0.95,0
341,2,1,0,0,0,0,0,1,2,1,9.5,0.95,0.74,0
343,2,1,0,0,0,0,0,1,10,1,10.5,0.95,0.74,0
346,2,1,0,0,0,0,0,1,2,1,10,0.95,NA,0
348,3,0,1,0,0,0,0,1,3,1,10.5,1.02,1.06,0
350,3,1,0,0,0,0,0,1,8,1,16,1.06,0.91,0
351,3,1,0,0,0,0,0,1,2,1,16,1.02,0.9,0
352,3,0,0,1,0,0,0,1,0,1,11.5,1.12,0.91,0
353,3,1,0,0,0,0,0,1,7.5,1,16,1.07,0.85,0
355,4,0,1,0,0,0,0,1,2,0,11.5,0.95,0.92,0
359,1,1,0,0,0,0,0,1,0,1,15,1.02,0.85,0
360,1,1,0,0,0,0,0,1,3,0,15,1.06,0.84,0
361,1,1,0,0,0,0,0,1,6,0,16,1.02,0.91,0
362,2,1,0,0,0,0,0,1,6,0,12.5,1.06,0.81,0
363,2,1,0,0,0,0,0,1,0,0,12.5,1.06,0.8,0
364,2,1,0,0,0,0,0,1,3.5,0,12,0.95,0.85,0
366,3,1,0,0,0,0,0,1,2,0,11.5,1.02,0.91,0
368,4,1,0,0,0,0,0,1,0,0,12.5,0.89,0.86,0
369,1,0,0,1,0,0,0,1,0,1,15,1.17,1.06,0
370,1,0,0,1,0,0,0,1,20,0,16,1.06,0.95,0
376,1,0,0,1,0,0,0,1,4,0,14,0.95,0.95,0
377,1,0,0,1,0,0,0,1,12,0,14,1.06,0.95,0
379,1,0,0,1,0,0,0,1,20,0,16,1.06,1.06,0
380,1,0,0,1,0,0,0,1,10,0,16,1.06,0.95,0
383,1,0,0,1,0,0,0,1,6,0,16,1.15,0.95,0
384,1,0,0,1,0,0,0,1,NA,0,16,1.06,0.95,0
385,1,0,0,1,0,0,0,1,16,0,17,NA,NA,0
386,1,0,0,1,0,0,0,1,0,0,17,1.06,0.95,0
391,2,0,0,1,0,0,0,1,15,0,10,1.06,1.06,0
393,2,0,0,1,0,0,0,1,4,1,11,1.17,1.27,0
396,3,0,0,1,0,0,0,1,24,1,17,1.27,1.07,0
397,3,0,0,1,0,0,0,1,4,1,17,1.12,1.02,0
398,3,0,0,1,0,0,0,1,14,1,17,1.12,1.06,0
399,3,0,0,1,0,0,0,1,13,1,17,1.27,1.04,0
400,3,0,0,1,0,0,0,1,16,1,17,1.2,1.06,0
401,3,0,0,1,0,0,0,1,8,0,16,1.12,1.02,0
402,3,0,0,1,0,0,0,1,11,1,16,1.12,1.02,0
405,3,0,0,1,0,0,0,1,6,1,17,1.12,1.02,0
410,1,0,0,1,0,0,0,1,0,0,16,1.04,1.12,0
411,1,0,0,1,0,0,0,1,0,0,16,1.16,1.02,0
412,2,0,1,0,0,0,0,1,0,0,11,1.06,1.02,0
413,1,0,0,1,0,0,0,1,0,0,17,1.12,1.02,0
414,1,0,0,1,0,0,0,1,0,0,16,1.06,0.95,0
415,1,0,0,1,0,0,0,1,8,0,16,1.06,0.91,0
